번호,번호2,학년-반-번호,자료명,저자명,청구기호,대출일,반납일
2382,A100429,3-11반-22,편의점 인간,무라타사야카;김석희 옮김,833 무292ㅍ,2018.08.24,2018.09.10
2383,A100474,3-11반-24,열린시대열린경영,"윤순봉,장승권 지음",,2018.08.24,2018.08.28
2384,A100474,3-11반-24,(The)apple story,김정남 지음,325.1 김74ㅇ,2018.08.24,2018.08.28
2385,A100484,3-11반-12,어떻게 부자가 될까?. 24,롤랜드 모건 지음;김병주 옮김,408 주198ㅅ v.24,2018.08.24,2018.08.30
2386,A100484,3-11반-12,"(강소기업 경영크로키)경영 일탈, 정답은 많다",안병민 지음;신명기 일러스트,325.1 안44ㄱ,2018.08.24,2018.08.30
2387,A100490,3-9반-24,베이징 특파원 중국 문화를 말하다,홍순도...[등]지음,309.112 홍56ㅂ,2018.08.24,2018.09.11
2388,A100550,3-3반-30,(처음 읽는)중국사,전국역사교사모임 지음,912 전16ㅈ,2018.08.24,2018.12.27
2389,A100555,3-7반-19,나는 치즈다. 14,로버트 코마이어 지음;김연수 옮김,808.9 창48ㅊ v.14,2018.08.24,2018.09.21
2390,A100324,3-1빈-24,게임기획자 어떻게 되었을까?,캠퍼스멘토 편,336.24 캠894ㄱ,2018.08.27,2018.09.03
2391,A100468,3-8반-16,누군가는 알고 있다,르네 나이트 지음;김효정 옮김,843 나68ㄴ,2018.08.27,2018.09.03
2392,A100474,3-11반-24,스페이스 마케팅,홍성용 지음,,2018.08.28,2018.09.03
2393,A100474,3-11반-24,링크의 경제학,폴 길린 지음;최규형 옮김,326.165 길298ㄹ c.2,2018.08.28,2018.09.03
2394,A100497,3-5반-16,모모,미하엘 엔데 지음;한미희 옮김,853 엔24ㅁ c.3,2018.08.28,2018.11.02
2395,A100497,3-5반-16,"진로를 정하지 못한 나, 비정상인가요?",최현정 지음,372.6 최94ㅈ,2018.08.28,2018.11.02
2396,A100015,3-12반-1,보이지 않는 사람들,박영희 지음,,2018.08.29,2018.09.05
2397,A100083,3-2반-11,카오스,제임스 글릭 지음;박래선 옮김,404 글298ㅋ,2018.08.29,2018.09.05
2398,A100083,3-2반-11,"과학, 리플레이",가치를꿈꾸는과학교사모임 지음,404 가86ㄱ,2018.08.29,2018.09.03
2399,A100098,3-10반-4,남극과 북극의 궁금증 100가지,가미누마 가츠타다...[등]저 ;김태호 옮김,고 970 남18ㅍ,2018.08.29,2018.09.05
2400,A100107,3-8반-3,범인 없는 살인의 밤,히가시노 게이고 지음; 윤성원 옮김,833.6 히12버,2018.08.29,2018.09.05
2401,A100160,3-2반-17,채식 대 육식,메러디스 세일스 휴스 지음;김효정 옮김,334.2 휴57ㅊ,2018.08.29,2018.09.05
2402,A100305,3-7반-21,밤의 화사들,윤혜숙 글,813.6 윤94ㅂ,2018.08.29,2018.09.05
2403,A100387,3-12반-11,아슬아슬한 연애인문학,윤이희나 지음;이진아 그림,591.7 윤68ㅇ,2018.08.29,2018.09.05
2404,A100407,3-4반-10,거리 두기,임춘성 지음; 니나킴 그림,199.1 임85ㄱ,2018.08.29,2018.09.05
2405,A100506,3-12반-15,굿 파이트,서화교 지음,813.6 서95ㄱ,2018.08.29,2018.09.05
2406,A100536,3-6반-12,불량엄마 굴욕사건,비키 그랜트 저;이도영 역,843 그293ㅂ,2018.08.29,2018.09.05
2407,A100540,3-3반-15,"여름, 어디선가 시체가",박연선 지음,813.6 박64ㅇ,2018.08.29,2018.09.05
2408,A100002,3-11반-1,어쩌다 디자인,장영진 지음,658 장64ㅇ,2018.08.30,2018.11.01
2409,A100091,3-11반-15,"수학, 세계사를 만나다",이광연 지음,410.9 이15ㅅ,2018.08.30,2018.09.05
2410,A100091,3-11반-15,학교만으로 충분한 수학,양영기 지음,410.7 양64ㅎ,2018.08.30,2018.09.03
2411,A100246,3-4반-22,나쁜 페미니스트,록산 게이 지음;노지양 옮김,337.2 게68ㄴ,2018.08.30,2018.09.03
2412,A100286,3-10반-20,나 홀로 축구 여행,정유라 지음,695.4 정66ㄴ,2018.08.30,2018.12.03
2413,A100303,3-4반-24,교사의 배움,사토마나부;한국배움의공동체연구회,373 사885ㄱ,2018.08.30,2018.11.05
2414,A100103,,세상에 단 한 권뿐인 시집,박상률 지음,813.6 박52ㅅ,2018.08.31,2018.09.12
2415,A100198,3-10반-18,체인지킹의 후예,이영훈,813.6 이64ㅊ,2018.08.31,2018.09.03
2416,A100223,3-2반-21,살아있는 귀신:김시습과 금오신화,설흔 지음,,2018.08.31,2018.09.05
2417,A100223,3-2반-21,지중해 태양의 요리사,박찬일 지음,816.6 박82ㅈ c.2,2018.08.31,2018.09.05
2418,A100246,3-4반-22,우리 사우나는 JTBC 안 봐요,박생강 지음,813.6 박53ㅇ,2018.08.31,2018.09.03
2419,A100270,3-5반-7,세븐틴 세븐틴,이옥수;신여랑;김해원;박지리;이송현;홍명진;김선희;최상희 지음,813.7 이65ㅅ,2018.08.31,2018.09.05
2420,A100332,3-7반-13,내 몸 치유력,프레데리크 살드만 지음;이세진 옮김,517.3 살27ㄴ,2018.08.31,2018.09.03
2421,A100420,3-4반-27,사회를 보는 논리,김찬호 지음,331.138 김82ㅅ c.2,2018.08.31,2018.09.05
2422,A100198,3-10반-18,배터리. 2,아사노 아쓰코 지음;양억관 옮김,833.6 아52ㅂ v.2,2018.09.03,2018.09.05
2423,A100198,3-10반-18,배터리. 1,아사노 아쓰코 지음;양억관 옮김,833.6 아52ㅂ v.1,2018.09.03,2018.09.05
2424,A100235,3-6반-7,고3의 완벽한 휴가,A. J. 베츠 지음;서소울 옮김,843 베85ㄱ,2018.09.03,2018.09.10
2425,A100246,3-4반-22,역사 in 시사,이인경 지음,100 331 이68ㅇ c.3,2018.09.03,2018.09.05
2426,A100246,3-4반-22,신문 읽기의 혁명,손석춘 지음,100 070.41 손54ㅅ c.3,2018.09.03,2018.09.05
2427,A100249,3-2반-2,엄청나게 복잡하고 끔찍하게 재밌는 문제들,토마스 포비 지음 ; 권혜승 옮김,410 포48ㅇ,2018.09.03,2018.09.05
2428,A100468,3-8반-16,누군가는 알고 있다,르네 나이트 지음;김효정 옮김,843 나68ㄴ,2018.09.03,2018.09.10
2429,A100312,,한 푼도 못되는 그 놈의 양반. 11 - 박지원의 한문 소설,김수업 글;최선경 그림,813.508 국63ㄴ v.11,2018.09.04,2018.09.07
2430,A100312,,(국어선생님의)시로 만나는 한국 현대사,신현수 엮음,811.6 신94ㅅ c.6,2018.09.04,2018.09.07
2431,A100312,,청소년을 위한 한국사,백유선;신부식;임태경,100 911 백66ㅊ,2018.09.04,2018.09.07
2432,A100312,,원 플러스 원,조조 모예스 지음;오정아 옮김,843 모64ㅇ,2018.09.04,2018.10.02
2433,A100553,3-9반-25,호모 데우스,유발 하라리 지음;김명주 옮김,331.5 하292ㅎ c.2,2018.09.04,2018.09.12
2434,A100061,3-4반-18,파란달의 시네마 레시피,정영선 글을 쓰고 요리하다,594.5 정64ㅍ,2018.09.05,2018.09.10
2435,A100083,3-2반-11,카오스,제임스 글릭 지음;박래선 옮김,404 글298ㅋ,2018.09.05,2018.09.12
2436,A100091,3-11반-15,솔직한 식품,이한승 지음,594.1 이92ㅅ,2018.09.05,2018.09.11
2437,A100098,3-10반-4,지도로 만나는 우리 땅 친구들,전국지리교사모임 글;조경규 그림,981.1 전16ㅈ,2018.09.05,2018.09.05
2438,A100160,3-2반-17,채식 대 육식,메러디스 세일스 휴스 지음;김효정 옮김,334.2 휴57ㅊ,2018.09.05,2018.09.11
2439,A100198,3-10반-18,"기화, 왕의 기생들. 2",정연주 지음,813.6 정64ㄱ v.2,2018.09.05,2018.09.10
2440,A100198,3-10반-18,"기화, 왕의 기생들. 1",정연주 지음,813.6 정64ㄱ v.1,2018.09.05,2018.09.10
2441,A100198,3-10반-18,풀하우스,유미리 지음;곽해선 옮김,,2018.09.05,2018.09.05
2442,A100198,3-10반-18,"스무살, 도쿄",오쿠다 히데오 지음;양윤옥 옮김,833.6 오876ㅅ,2018.09.05,2018.09.05
2443,A100249,3-2반-2,야밤의 공대생 만화,맹기완 지음,404 맹18ㅇ,2018.09.05,2018.09.10
2444,A100264,3-10반-19,맨홀. 2,박지리,813.6 박78ㅁ c.2,2018.09.05,2018.09.10
2445,A100275,3-11반-17,물구나무,백지연 지음,813.6 백78ㅁ,2018.09.05,2018.09.10
2446,A100333,3-1빈-25,스페이스 크로니클,닐 디그래스 타이슨;에이비스 랭 (엮음) 지음; 박병철 옮김,443.1 타68ㅅ,2018.09.05,2018.09.12
2447,A100333,3-1빈-25,하루종일 우주생각,지웅배 지음,443.1 지66ㅎ,2018.09.05,2018.09.12
2448,A100361,,오래된 연장통,전중환 지음,고 182.4 전77ㅇ,2018.09.05,2018.09.18
2449,A100453,,(정재승+진중권) 크로스,정재승;진중권 지음,331.5 정72ㅋ c.2,2018.09.05,2018.09.17
2450,A100453,,왜 세계의 절반은 굶주리는가?,장 지글러 지음;유영미 옮김,335.7 지17ㅇ,2018.09.05,2018.12.05
2451,A100509,,셜록홈스와 베이커 가의 아이들. 1: 서커스 살인 사건,트레이시 맥 지음;정회성 옮김,843 맥887ㅅ v.1,2018.09.05,2018.11.07
2452,A100517,3-4반-28,맨홀. 1,박지리 지음,813.6 박78ㅁ,2018.09.05,2018.09.10
2453,A100146,,지하철에서 책 읽는 여자,크리스틴 페레플뢰리 지음;최정수 옮김,863 페294ㅈ,2018.09.06,2018.09.13
2454,A100334,,"릴랙스, 내게 필요한 완전한 휴식",마이크 조지 지음;이재원 옮김,186.5 조78ㄹ,2018.09.06,2018.10.17
2455,A100334,,명륜동 행복한 상담실,선안남,186.3 선62ㅁ,2018.09.06,2018.10.17
2456,A100334,,나는 생각이 너무 많아,크리스텔 프티콜랭 지음;이세진 옮김,186.5 프888ㄴ,2018.09.06,2018.11.19
2457,A100334,,(일생 동안 꼭 피해야 할 17가지) 생각의 함정,사오유에 지음;이예원 옮김,181.3 사65ㅅ,2018.09.06,2018.11.19
2458,A100334,,양방으로 갈까? 한방으로 가볼까?,백승헌,519.25 백57ㅇ,2018.09.06,2018.09.06
2459,A100312,,김수영을 위하여,강신주 지음,811.09 강58ㄱ,2018.09.07,2018.10.02
2460,A100312,,선생님 시 읽어 주세요!,김영호;이응인;최은숙 [공]엮음,811.609 김64ㅅ,2018.09.07,2018.10.02
2461,A100362,,(입학사정관제) 멘토를 만나다,전용준;박민호;임정현 공저,377 전65ㅁ,2018.09.07,2018.09.10
2462,A100061,3-4반-18,(식탁 위의 과학)분자요리,이시카와신이치 지음 ; 홍주영 옮김,594.5 이58ㅂ,2018.09.10,2018.10.01
2463,A100082,3-2반-10,단학,이승헌,512.57 이57ㄷ,2018.09.10,2018.09.14
2464,A100082,3-2반-10,(재미있는 건축 이야기)나도 건축가,김혜완 지음,540 김94ㄴ,2018.09.10,2018.09.14
2465,A100198,3-10반-18,1Q84. 1,무라카미 하루키 지음;양윤옥 옮김,833.6 무292ㅇ v.1c.2,2018.09.10,2018.09.11
2466,A100198,3-10반-18,한국 공포 문학 단편선,이종호 [등] 지음,813.6 이75ㅎ,2018.09.10,2018.09.11
2467,A100235,3-6반-7,고3의 완벽한 휴가,A. J. 베츠 지음;서소울 옮김,843 베85ㄱ,2018.09.10,2018.09.17
2468,A100246,3-4반-22,(만화로 보는) 수학 비타민,박경미 원작;전지은 글;김재일 그림,100 410 박14ㅅ,2018.09.10,2018.09.14
2469,A100246,3-4반-22,열정세대,김진아 외 지음;참여연대 기획,100 331.2 김78ㅇ c.2,2018.09.10,2018.09.14
2470,A100264,3-10반-19,왜 지금 드론인가,편석준;최기영;이정용 지음,558.3 편54ㅇ,2018.09.10,2018.09.13
2471,A100264,3-10반-19,"바퀴, 세계를 굴리다",리처드 불리엣 지음;소슬기 옮김,556.3 불298ㅂ,2018.09.10,2018.09.13
2472,A100275,3-11반-17,세상을 바꾼 맛,정한진 지음,594 정92ㅅ,2018.09.10,2018.11.02
2473,A100305,3-7반-21,"14살, 나를 구해줘",미야타 유고 지음 ;이수경 옮김,513.85 미63ㅇ,2018.09.10,2018.09.17
2474,A100468,3-8반-16,누군가는 알고 있다,르네 나이트 지음;김효정 옮김,843 나68ㄴ,2018.09.10,2018.09.17
2475,A100517,3-4반-28,기계공학의 역사,三輪修三 著 ;양보석 ;이연원 ;김선진 [共]譯,550.09 미65ㄱ,2018.09.10,2018.09.13
2476,A100517,3-4반-28,북극의 눈물,MBC <북극의 눈물> 제작팀 지음;박은영 글,539.98 엠48ㅂ,2018.09.10,2018.09.13
2477,A100084,3-2반-12,저는 심리학이 처음인데요,강현식,180 강94ㅈ,2018.09.11,2018.09.18
2478,A100084,3-2반-12,기린의 날개,히가시노게이고 지음;김난주 옮김,833.6 히12ㄱ,2018.09.11,2018.09.11
2479,A100198,3-10반-18,1Q84. 2,무라카미 하루키 지음;양윤옥 옮김,833.6 무292ㅇ v.2,2018.09.11,2018.09.12
2480,A100198,3-10반-18,1Q84. 3,무라카미 하루키 지음;양윤옥 옮김,833.6 무292ㅇ v.3,2018.09.11,2018.09.12
2481,A100427,,완벽하지 않은 것들에 대한 사랑,혜민 지음;이응견 그림,818 혜38ㅇ,2018.09.11,2018.11.12
2482,A100427,,생각이 나서,황경신 지음,818 황14ㅅ,2018.09.11,2018.11.12
2483,A100427,,지식인의 서재,한정원 글 ;전영건 사진,,2018.09.11,2018.11.12
2484,A100474,3-11반-24,(혼자서도 할 수 있는)블로그 마케팅,유성철 지음,325.555 유54ㅂ,2018.09.11,2018.09.18
2485,A100474,3-11반-24,(제프리 무어의)캐즘 마케팅,제프리 A. 무어 지음;윤영호 옮김,325.5 무64ㅋ,2018.09.11,2018.09.18
2486,A100484,3-11반-12,(회계사가 말하는) 회계사. 16,강성원 외 지음,336.24 부829ㅂ v.16,2018.09.11,2018.09.14
2487,A100511,3-5반-26,현대소설의 인물묘사방법론,조미숙,,2018.09.11,2018.09.18
2488,A100028,3-12반-2,의학적 상상력의 힘. 2505,전우택 [외] 지음,510.4 전66ㅇ,2018.09.12,2018.09.19
2489,A100028,3-12반-2,(치과의사가 말하는)치과의사,안현세;여상호;임세호;남대호;김진구;권민수 외13명 지음,336.24 부878ㅂ v.21,2018.09.12,2018.09.19
2490,A100083,3-2반-11,카오스,제임스 글릭 지음;박래선 옮김,404 글298ㅋ,2018.09.12,2018.09.19
2491,A100198,3-10반-18,다빈치 코드. 1,댄 브라운 지음;안종설 옮김,843 브292ㄷ v.1c.2,2018.09.12,2018.09.13
2492,A100198,3-10반-18,다빈치 코드. 2,댄 브라운 지음;안종설 옮김,843 브292ㄷ v.2c.2,2018.09.12,2018.09.13
2493,A100225,3-2반-1,"쇼스타코비치, 그 삶과 음악",리처드 화이트하우스 지음;김형수 옮김,670.99 화68ㅅ,2018.09.12,2018.09.18
2494,A100551,3-1빈-9,북유럽 교육기행,정애경,370.923 정63ㅂ,2018.09.12,2018.09.12
2495,A100032,3-10반-12,지구를 구하려면 자본주의에서 벗어나라!,에르베 켐프 지음;정혜용 옮김,322.01 켐897ㅈ,2018.09.13,2018.09.20
2496,A100057,3-11반-13,세상에서 가장 아름다운 집,서윤영 지음,549.1 서66ㅅ,2018.09.13,2018.09.20
2497,A100146,,나는 상처받지 않기로 했다,에이미 모린 지음;유혜인 옮김,199.1 모298ㄴ,2018.09.13,2018.09.21
2498,A100146,,커피와 달마,성재헌 씀,220.4 성73ㅋ,2018.09.13,2018.09.21
2499,A100190,3-2반-20,대한민국 자동차 명장 박병일의 자동차 백과,"박병일, 박대세",556 박44ㄷ,2018.09.13,2018.09.20
2500,A100198,3-10반-18,불량아이들,조재도 글;김호민 그림,813.6 조73ㅂ,2018.09.13,2018.09.14
2501,A100198,3-10반-18,악의,정해연 지음,813.6 정93ㅇ,2018.09.13,2018.09.14
2502,A100296,3-5반-10,"실어증입니다, 일하기싫어증",양경수,818 양14ㅅ,2018.09.13,2018.09.20
2503,A100305,3-7반-21,밤의 화사들,윤혜숙 글,813.6 윤94ㅂ,2018.09.13,2018.09.19
2504,A100323,3-11반-19,핵폭발 그후로도 오랫동안,구드룬 파우제방 지음;김희상 옮김,853 파66ㅎ,2018.09.13,2018.09.20
2505,A100380,3-5반-14,내가? 정치를? 왜?,이형관; 문현경,340.02 이94ㄴ,2018.09.13,2018.09.20
2506,A100405,3-2반-23,(21세기) 먼나라 이웃나라. 3: 도이칠란트,이원복 글·그림,909 이66ㅁ v.3,2018.09.13,2018.09.20
2507,A100406,3-9반-11,달의 위로,안상현 지음,818 안52ㄷ,2018.09.13,2018.09.18
2508,A100418,3-8반-10,오즈의 의류 수거함,유영민,813.6 유64ㅇ c.2,2018.09.13,2018.09.20
2509,A100418,3-8반-10,나의 페미니즘 공부법 : 도쿄대에서 우에노 지즈코에게 싸우는 법을 배우다,하루카 요코 ; 지비원,337.04 요875ㄴ,2018.09.13,2018.09.20
2510,A100425,3-9반-13,미인의 법칙,나윤아 지음,813.6 나66ㅁ,2018.09.13,2018.09.20
2511,A100425,3-9반-13,고리의 비밀,오시은 지음,813.6 오58ㄱ,2018.09.13,2018.09.27
2512,A100460,3-11반-23,충분히 아름다운 너에게,쉰네 순 뢰에스 지음;손화수 옮김,,2018.09.13,2018.09.20
2513,A100527,,말하는 디자인,이수곤;김성찬;김일석;황진원 지음,658 이56ㅁ,2018.09.13,2018.09.21
2514,A100553,3-9반-25,이기적 유전자,리처드 도킨스 지음;홍영남;이상임 [같이] 옮김,476.1 도878ㅇ,2018.09.13,2018.09.18
2515,A100020,3-7반-1,피부도 단식이 필요하다,히라노 교코 지음 ;정은미 옮김,593.2 히292ㅍ,2018.09.14,2018.11.09
2516,A100082,3-2반-10,우울증에 관한 희망의 보고서,루이스 월퍼트,513.85 월894ㅇ,2018.09.14,2018.09.18
2517,A100082,3-2반-10,마음의 감기,루이제 레더만 지음;박성원 옮김,513.85 레24ㅁ,2018.09.14,2018.09.18
2518,A100096,3-1빈-4,승무원 어떻게 되었을까?,김달님 지음,336.24 김22ㅅ,2018.09.14,2018.11.09
2519,A100198,3-10반-18,그리고 아무도 없었다,애거서 크리스티 지음;이가형 옮김,843.6 크298ㄱ c.2,2018.09.14,2018.09.17
2520,A100198,3-10반-18,앨리스 죽이기,고바야시 야스미 지음;김은모 옮김,833.6 고42ㅇ,2018.09.14,2018.09.17
2521,A100382,3-11반-8,(10대를 위한)직업 백과,한승배 글;박하 그림,336.24 한57ㅈ,2018.09.14,2018.09.17
2522,A100062,3-2반-9,사피엔스,유발 하라리;조현욱 옮김,909 하292ㅅ c.2,2018.09.17,2018.09.19
2523,A100198,3-10반-18,청춘의 낙서들,도인호 지음,818 도68ㅊ,2018.09.17,2018.09.18
2524,A100198,3-10반-18,여왕벌,요코미조 세이시 지음;정명원 옮김,,2018.09.17,2018.09.18
2525,A100235,3-6반-7,고3의 완벽한 휴가,A. J. 베츠 지음;서소울 옮김,843 베85ㄱ,2018.09.17,2018.09.27
2526,A100246,3-4반-22,"아빠, 제발 잡히지마",이란주 지음,,2018.09.17,2018.09.21
2527,A100246,3-4반-22,두 번째 스무 살,희정;수정;소마;서래;항아 지음,,2018.09.17,2018.09.21
2528,A100279,3-11반-6,반드시 다시 돌아온다,박하령 지음,813.6 박92ㅂ,2018.09.17,2018.11.09
2529,A100279,3-11반-6,호텔리어 로랑의 시선,구유회 지음,596.8104 구66ㅎ,2018.09.17,2018.09.20
2530,A100305,3-7반-21,"14살, 나를 구해줘",미야타 유고 지음 ;이수경 옮김,513.85 미63ㅇ,2018.09.17,2018.09.27
2531,A100468,3-8반-16,누군가는 알고 있다,르네 나이트 지음;김효정 옮김,843 나68ㄴ,2018.09.17,2018.09.27
2532,A100082,3-2반-10,바나나 우유,김주현 지음,594.04 김76ㅂ,2018.09.18,2018.09.21
2533,A100082,3-2반-10,컨닝 X파일,크리스틴 부처 지음 ;김영아 옮김,843 부83ㅋ,2018.09.18,2018.09.21
2534,A100157,3-9반-5,두근두근 백화점,알렉스 쉬어러 지음 ;김호정 옮김,843 쉬64ㄷ,2018.09.18,2018.09.27
2535,A100198,3-10반-18,신들의 섬. 2: 거미 신의 분노,쎄사르 마요르끼 지음;김미경 옮김,873 마65ㅅ v.2,2018.09.18,2018.09.19
2536,A100198,3-10반-18,신들의 섬. 1: 비밀의 무덤,쎄사르 마요르끼 지음;김미경 옮김,873 마65ㅅ v.1,2018.09.18,2018.09.19
2537,A100368,3-9반-10,"어느 날, 내가 죽었다",이즈미 우타마로 지음;장은주 옮김,833.6 이77ㅇ,2018.09.18,2018.09.19
2538,A100368,3-9반-10,어린왕자와 길을 걷다,오소희 지음,818 오55ㅇ,2018.09.18,2018.09.19
2539,A100437,3-10반-9,앨리스 죽이기,고바야시 야스미 지음;김은모 옮김,833.6 고42ㅇ,2018.09.18,2018.10.19
2540,A100474,3-11반-24,던랩이 기업수술,"앨버트 던랩,밥 안델만 지음;윤재관 옮김",,2018.09.18,2018.09.21
2541,A100474,3-11반-24,구글은 어떻게 일하는가,에릭 슈미트;조너선 로젠버;앨런 이글 [공]지음;박병화 옮김,325.1 슈38ㄱ,2018.09.18,2018.09.21
2542,A100028,3-12반-2,의학적 상상력의 힘. 2505,전우택 [외] 지음,510.4 전66ㅇ,2018.09.19,2018.12.17
2543,A100028,3-12반-2,(치과의사가 말하는)치과의사,안현세;여상호;임세호;남대호;김진구;권민수 외13명 지음,336.24 부878ㅂ v.21,2018.09.19,2018.11.19
2544,A100083,3-2반-11,카오스,제임스 글릭 지음;박래선 옮김,404 글298ㅋ,2018.09.19,2018.09.21
2545,A100098,3-10반-4,n분의 1의 함정,하임 샤피라 지음;이재경 옮김,413.3 샤898ㅇ,2018.09.19,2018.10.24
2546,A100110,3-2반-13,IT 천재들,이재구 지음,004.099 이73ㅇ,2018.09.19,2018.10.26
2547,A100150,3-9반-4,그리고 아무도 없었다,애거서 크리스티 지음;이가형 옮김,843.6 크298ㄱ c.4,2018.09.19,2018.11.13
2548,A100198,3-10반-18,백설공주에게 죽음을,넬레 노이하우스 지음;김진아 옮김,853 노68ㅂ,2018.09.19,2018.09.20
2549,A100198,3-10반-18,7구역 소년,샐리 가드너 지음;줄리안 크라우치 그림;최현빈 옮김,843 가27ㅊ,2018.09.19,2018.09.20
2550,A100270,3-5반-7,말의 품격,이기주 지음,818 이18ㅁ,2018.09.19,2018.10.01
2551,A100305,3-7반-21,밤의 화사들,윤혜숙 글,813.6 윤94ㅂ,2018.09.19,2018.09.27
2552,A100324,3-1빈-24,유엔미래보고서 2045. 2045,박영숙;제롬 글렌 [공]지음,331.5 박64ㅇ v.2045,2018.09.19,2018.09.21
2553,A100525,3-2반-6,올 댓 셰프,스토리텔링콘텐츠연구소 지음,594.504 스885ㅇ,2018.09.19,2018.10.24
2554,A100547,3-2반-27,룬의 아이들. 1: 겨울의 검,전민희 지음,813.6 전38ㄹ v.1,2018.09.19,2018.09.20
2555,A100547,3-2반-27,룬의 아이들. 2: 덫을 뚫고서 폭풍 속에,전민희 지음,813.6 전38ㄹ v.2,2018.09.19,2018.09.20
2556,A100549,3-12반-23,물의 기억,엠미 이타란타 글;한혜진 옮김,839.64 이882ㅁ,2018.09.19,2018.10.17
2557,A100049,3-3반-6,괜찮지 않습니다,최지은,337.2 최78ㄱ,2018.09.20,2018.09.27
2558,A100054,3-7반-4,용의자 X의 헌신,히가시노 게이고 지음;양억관 옮김,833.6 히12ㅇ,2018.09.20,2018.10.18
2559,A100091,3-11반-15,창의력에 생각을 더하는 영재수학,당상빈 책임편집;김은정 그림;성기환 번역.감수,410.7 당52ㅊ,2018.09.20,2018.09.27
2560,A100091,3-11반-15,고3인 너에게,이병훈 지음,,2018.09.20,2018.09.27
2561,A100155,3-7반-9,영혼 박물관,김혜정 지음,813.6 김94ㅇ,2018.09.20,2018.10.25
2562,A100198,3-10반-18,바이퍼케이션. 2,이우혁 지음,813.6 이66ㅂ v.2,2018.09.20,2018.09.21
2563,A100198,3-10반-18,바이퍼케이션. 1,이우혁 지음,813.6 이66ㅂ v.1,2018.09.20,2018.09.21
2564,A100249,3-2반-2,러브크래프트 전집. 1: 크툴루 신화,H. P. 러브크래프트 저;정진영 옮김,843 러47ㄹ v.1,2018.09.20,2018.09.20
2565,A100323,3-11반-19,핵폭발 그후로도 오랫동안,구드룬 파우제방 지음;김희상 옮김,853 파66ㅎ,2018.09.20,2018.10.25
2566,A100326,3-5반-11,모두 깜언,김중미 지음,808.9 창48 v.64c.2,2018.09.20,2018.10.18
2567,A100380,3-5반-14,내가? 정치를? 왜?,이형관; 문현경,340.02 이94ㄴ,2018.09.20,2018.09.27
2568,A100405,3-2반-23,(21세기) 먼나라 이웃나라. 3: 도이칠란트,이원복 글·그림,909 이66ㅁ v.3,2018.09.20,2018.10.25
2569,A100418,3-8반-10,그 여자네 집,박완서 지음,813.6 박65ㄱ,2018.09.20,2018.09.27
2570,A100418,3-8반-10,나의 페미니즘 공부법 : 도쿄대에서 우에노 지즈코에게 싸우는 법을 배우다,하루카 요코 ; 지비원,337.04 요875ㄴ,2018.09.20,2018.09.27
2571,A100425,3-9반-13,달의 위로,안상현 지음,818 안52ㄷ,2018.09.20,2018.10.18
2572,A100446,3-8반-13,포니의 스타일 메이크업 북,박혜민 지음,593.24 박94ㅍ,2018.09.20,2018.11.16
2573,A100450,3-4반-11,하니와 코코,최상희 지음,813.6 최52ㅎ,2018.09.20,2018.10.18
2574,A100460,3-11반-23,충분히 아름다운 너에게,쉰네 순 뢰에스 지음;손화수 옮김,,2018.09.20,2018.09.27
2575,A100470,3-6반-11,폴링 인 폴,백수린 지음,,2018.09.20,2018.11.05
2576,A100547,3-2반-27,룬의 아이들. 3: 살아남은 자들의 섬,전민희 지음,813.6 전38ㄹ v.3,2018.09.20,2018.09.27
2577,A100547,3-2반-27,룬의 아이들. 4: 사라지지 않는 피,전민희 지음,813.6 전38ㄹ v.4,2018.09.20,2018.09.27
2578,A100012,3-8반-1,이름 없는 너에게. 26,벌리 도허티 지음;장영희 옮김,808.9 창48ㅊ v.26,2018.09.21,2018.10.05
2579,A100083,3-2반-11,카오스,제임스 글릭 지음;박래선 옮김,404 글298ㅋ,2018.09.21,2018.09.28
2580,A100105,3-10반-5,파란 아이,공선옥 외 지음 ;박숙경 엮음,808.9 창48 v.50,2018.09.21,2018.11.14
2581,A100246,3-4반-22,성깔 있는 나무들,최은숙 지음,,2018.09.21,2018.09.28
2582,A100246,3-4반-22,세금과 선거,강원택 편,344 강66ㅅ,2018.09.21,2018.09.28
2583,A100324,3-1빈-24,지금은 없는 이야기,최규석 글·그림,818 최16ㅈ,2018.09.21,2018.09.27
2584,A100474,3-11반-24,해외직구 365 Sale,이준설;이재형;송신애;경민정 지음,325.555 이76ㅎ,2018.09.21,2018.09.27
2585,A100474,3-11반-24,(사회 선생님이 들려주는)공정무역 이야기,전국사회교사모임 지음,326 전16ㄱ,2018.09.21,2018.09.27
2586,A100049,3-3반-6,괜찮지 않습니다,최지은,337.2 최78ㄱ,2018.09.27,2018.11.01
2587,A100077,3-1빈-13,브이로그 조작사건,팀 콜린스 지음;김영아 옮김,843 콜298ㅂ,2018.09.27,2018.10.01
2588,A100077,3-1빈-13,정글북,러디어드 키플링 지음 ;손향숙 옮김,843 키897ㅈ,2018.09.27,2018.10.01
2589,A100082,3-2반-10,운기단법,이승헌,512.57 이57ㅇ,2018.09.27,2018.10.01
2590,A100082,3-2반-10,주거해부도감,마스다 스스무 지음; 김준균 옮김,549.7 마57ㅈ,2018.09.27,2018.10.01
2591,A100091,3-11반-15,남미의 101가지 매력,박재영 지음,985.02 박73ㄴ,2018.09.27,2018.10.01
2592,A100091,3-11반-15,(지도로 보는) 세계지도의 비밀,롬 인터내셔널 지음;정미영 옮김,,2018.09.27,2018.10.01
